,Unnamed: 0,name,address,date,neg,neu,pos
1017,1017,HulaHut,"        3825 Lake Austin Blvd Austin, TX 78703    ",12_18_2018,0.08900000000000001,0.758,0.153
1018,1018,HulaHut,"        3825 Lake Austin Blvd Austin, TX 78703    ",6_7_2019,0.042,0.7290000000000001,0.22899999999999998
1019,1019,HulaHut,"        3825 Lake Austin Blvd Austin, TX 78703    ",12_15_2018,0.063,0.728,0.21
1020,1020,HulaHut,"        3825 Lake Austin Blvd Austin, TX 78703    ",7_23_2019,0.07,0.7490000000000001,0.18100000000000002
1021,1021,WhollyCow,"        3010 S Lamar Blvd Austin, TX 78704    ",7_10_2019,0.045,0.711,0.244
1023,1023,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",9_29_2018,0.071,0.727,0.20199999999999999
1024,1024,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",8_11_2016,0.048,0.7340000000000001,0.218
1025,1025,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",6_9_2018,0.042,0.75,0.20800000000000002
1026,1026,HulaHut,"        3825 Lake Austin Blvd Austin, TX 78703    ",7_26_2019,0.066,0.7390000000000001,0.195
1027,1027,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",3_6_2018,0.055999999999999994,0.6940000000000001,0.25
1028,1028,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",6_7_2018,0.073,0.7290000000000001,0.198
1029,1029,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",4_13_2017,0.076,0.6990000000000001,0.225
1030,1030,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",2_8_2019,0.043,0.737,0.22
1031,1031,JulieNoodles,"        8557 Research Blvd Ste 110 Austin, TX 78758    ",9_1_2018,0.048,0.715,0.237
1032,1032,SalaandBetty,"        5201 Airport Blvd Austin, TX 78751    ",11_27_2015,0.039,0.721,0.24
1033,1033,SalaandBetty,"        5201 Airport Blvd Austin, TX 78751    ",4_2_2016,0.049,0.6990000000000001,0.252
